DATE,TRANSACTION,TOTAL,AVERAGE,COST,PROFIT,RATE(%)
7/1/2020,6,"$54,158.19 ","$9,026.37 ","$23,731.38 ","$30,426.81 ",$1.16 
7/2/2020,11,"$26,608.40 ","$2,418.95 ","$11,603.17 ","$14,984.90 ",$0.57 
7/6/2020,4,"$16,801.38 ","$4,200.35 ","$6,798.81 ","$10,002.57 ",$0.36 
7/7/2020,6,"$59,098.12 ","$9,849.69 ","$27,087.40 ","$32,010.72 ",$1.27 
7/8/2020,20,"$55,559.88 ","$2,777.99 ","$22,956.15 ","$32,495.95 ",$1.19 
7/9/2020,10,"$13,860.08 ","$1,386.01 ","$6,027.42 ","$7,832.66 ",$0.29 
7/10/2020,12,"$42,598.32 ","$3,549.86 ","$18,355.00 ","$24,216.32 ",$0.91 
7/13/2020,7,"$16,186.37 ","$2,312.34 ","$6,805.88 ","$9,310.75 ",$0.34 
7/14/2020,10,"$87,336.52 ","$8,733.65 ","$39,336.13 ","$48,646.37 ",$1.88 
7/15/2020,8,"$11,232.26 ","$1,404.03 ","$4,673.74 ","$6,537.66 ",$0.24 
7/16/2020,12,"$30,559.57 ","$2,546.63 ","$13,042.62 ","$17,502.78 ",$0.65 
7/17/2020,8,"$35,241.59 ","$4,405.20 ","$15,375.50 ","$19,843.91 ",$0.76 
7/20/2020,10,"$16,500.05 ","$1,650.01 ","$6,901.23 ","$9,530.17 ",$0.35 
7/21/2020,18,"$79,674.40 ","$4,426.36 ","$35,455.51 ","$44,117.10 ",$1.71 
7/22/2020,8,"$11,971.65 ","$1,496.46 ","$5,216.02 ","$6,734.63 ",$0.25 
7/23/2020,11,"$82,601.23 ","$7,509.20 ","$37,321.62 ","$45,212.90 ",$1.78 
7/24/2020,11,"$49,657.99 ","$4,514.36 ","$20,772.03 ","$29,125.67 ",$1.07 
7/27/2020,5,"$22,875.12 ","$4,575.02 ","$10,480.85 ","$12,394.27 ",$0.49 
7/28/2020,10,"$28,682.85 ","$2,868.29 ","$12,884.85 ","$15,712.23 ",$0.61 
7/29/2020,13,"$44,636.83 ","$3,433.60 ","$12,325.69 ","$32,245.85 ",$0.96 
7/30/2020,14,"$82,724.48 ","$5,908.89 ","$31,446.23 ","$51,849.69 ",$1.78 
7/31/2020,16,"$141,767.86 ","$8,860.49 ","$57,941.42 ","$84,575.45 ",$3.05 
8/3/2020,9,"$16,522.44 ","$1,835.83 ","$5,699.44 ","$10,830.66 ",$0.35 
8/4/2020,8,"$56,140.29 ","$7,017.54 ","$22,248.42 ","$34,005.27 ",$1.21 
8/5/2020,7,"$13,140.87 ","$1,877.27 ","$5,448.88 ","$7,737.79 ",$0.28 
8/6/2020,16,"$56,133.97 ","$3,508.37 ","$23,840.51 ","$32,344.17 ",$1.21 
8/7/2020,5,"$5,608.32 ","$1,121.66 ","$2,242.06 ","$3,295.56 ",$0.12 
8/10/2020,6,"$19,741.08 ","$3,290.18 ","$7,787.00 ","$11,597.96 ",$0.42 
8/11/2020,14,"$49,418.72 ","$3,529.91 ","$21,579.83 ","$27,813.89 ",$1.06 
8/12/2020,7,"$8,689.40 ","$1,241.34 ","$3,321.13 ","$5,343.12 ",$0.18 
8/13/2020,17,"$80,620.81 ","$4,742.40 ","$35,088.39 ","$45,612.40 ",$1.73 
8/14/2020,11,"$129,622.69 ","$11,783.88 ","$56,251.61 ","$73,347.75 ",$2.79 
8/17/2020,4,"$2,297.75 ",$574.44 ,$926.31 ,"$1,324.94 ",$0.04 
8/18/2020,8,"$33,403.23 ","$4,175.40 ","$14,101.06 ","$19,302.17 ",$0.72 
8/19/2020,9,"$30,850.55 ","$3,427.84 ","$12,841.60 ","$17,976.87 ",$0.66 
8/20/2020,16,"$33,429.94 ","$2,089.37 ","$13,675.37 ","$20,383.70 ",$0.72 
8/21/2020,12,"$29,135.71 ","$2,427.98 ","$11,487.60 ","$17,734.51 ",$0.62 
8/24/2020,5,"$14,154.32 ","$2,830.86 ","$5,748.91 ","$8,508.13 ",$0.30 
8/25/2020,7,"$24,818.12 ","$3,545.45 ","$11,014.52 ","$13,926.60 ",$0.53 
8/26/2020,1,$75.00 ,$75.00 ,$11.00 ,$37.00 ,$0.00 
8/27/2020,5,"$68,182.92 ","$13,636.58 ","$30,556.84 ","$37,912.18 ",$1.47 
8/28/2020,20,"$76,386.48 ","$3,819.32 ","$31,946.95 ","$44,321.36 ",$1.64 
8/31/2020,9,"$32,189.92 ","$3,576.66 ","$14,143.18 ","$18,023.74 ",$0.69 
9/1/2020,14,"$56,429.19 ","$4,030.66 ","$24,219.81 ","$32,160.51 ",$1.21 
9/2/2020,4,"$5,861.29 ","$1,465.32 ","$2,507.41 ","$3,332.25 ",$0.12 
9/3/2020,13,"$100,189.24 ","$7,706.86 ","$45,973.34 ","$54,188.50 ",$2.16 
9/4/2020,11,"$37,107.44 ","$3,373.40 ","$16,163.83 ","$20,953.19 ",$0.80 
9/8/2020,3,($396.72),($132.24),($184.72),($212.00),$0.00 
9/9/2020,9,"$17,200.62 ","$1,911.18 ","$7,279.35 ","$9,876.01 ",$0.37 
9/10/2020,10,"$51,870.06 ","$5,187.01 ","$21,561.14 ","$30,836.92 ",$1.11 
9/11/2020,4,"$3,326.76 ",$831.69 ,"$1,462.60 ","$1,864.16 ",$0.07 
9/14/2020,13,"$48,447.81 ","$3,726.75 ","$21,068.78 ","$27,282.50 ",$1.04 
9/15/2020,9,"$63,546.39 ","$7,060.71 ","$28,025.97 ","$35,357.35 ",$1.37 
9/16/2020,7,"$42,667.36 ","$6,095.34 ","$17,591.34 ","$25,269.32 ",$0.92 
9/17/2020,10,"$25,902.74 ","$2,590.27 ","$10,855.77 ","$15,060.87 ",$0.55 
9/18/2020,4,"$24,391.44 ","$6,097.86 ","$10,598.52 ","$13,801.44 ",$0.52 
9/21/2020,7,"$21,559.99 ","$3,080.00 ","$8,883.86 ","$12,613.14 ",$0.46 
9/22/2020,18,"$38,781.55 ","$2,154.53 ","$12,388.82 ","$26,675.81 ",$0.83 
9/23/2020,11,"$25,324.17 ","$2,302.20 ","$8,911.33 ","$16,421.38 ",$0.54 
9/24/2020,21,"$55,667.19 ","$2,650.82 ","$17,744.30 ","$37,844.85 ",$1.20 
9/25/2020,24,"$50,594.84 ","$2,108.12 ","$10,715.95 ","$40,180.07 ",$1.09 
9/28/2020,18,"$85,108.09 ","$4,728.23 ","$29,300.22 ","$56,714.37 ",$1.83 
9/29/2020,14,"$182,126.81 ","$13,009.06 ","$73,035.47 ","$112,463.62 ",$3.93 
9/30/2020,10,"$130,259.31 ","$13,025.93 ","$44,112.65 ","$92,384.59 ",$2.81 
10/1/2020,27,"$174,097.74 ","$6,448.06 ","$73,122.35 ","$102,985.11 ",$3.75 
10/2/2020,11,"$26,160.90 ","$2,378.26 ","$8,832.67 ","$17,803.09 ",$0.56 
10/5/2020,8,"$41,075.17 ","$5,134.40 ","$13,962.74 ","$28,098.53 ",$0.88 
10/6/2020,12,"$35,150.63 ","$2,929.22 ","$8,929.97 ","$26,184.58 ",$0.75 
10/7/2020,11,"$73,485.85 ","$6,680.53 ","$28,922.06 ","$44,062.59 ",$1.58 
10/8/2020,11,"$54,393.53 ","$4,944.87 ","$21,348.58 ","$33,041.20 ",$1.17 
10/9/2020,3,"$12,509.13 ","$4,169.71 ","$4,026.23 ","$8,487.58 ",$0.26 
10/12/2020,9,"$29,300.81 ","$3,255.65 ","$9,664.57 ","$19,627.58 ",$0.63 
10/13/2020,14,"$70,199.49 ","$5,014.25 ","$27,760.34 ","$42,625.97 ",$1.51 
10/14/2020,5,"$10,989.37 ","$2,197.87 ","$4,079.00 ","$6,967.42 ",$0.23 
10/15/2020,13,"$38,098.33 ","$2,930.64 ","$13,348.58 ","$24,977.29 ",$0.82 
10/16/2020,5,"$3,534.04 ",$706.81 ,"$1,444.03 ","$2,199.87 ",$0.07 
10/19/2020,8,"$35,021.18 ","$4,377.65 ","$14,543.23 ","$20,290.87 ",$0.75 
10/20/2020,6,"$24,373.20 ","$4,062.20 ","$12,181.03 ","$12,189.61 ",$0.52 
10/21/2020,6,"$25,422.45 ","$4,237.08 ","$10,679.65 ","$14,773.23 ",$0.54 
10/22/2020,14,"$126,905.32 ","$9,064.67 ","$40,699.55 ","$87,622.77 ",$2.73 
10/23/2020,18,"$70,063.67 ","$3,892.43 ","$25,551.89 ","$44,592.34 ",$1.51 
10/26/2020,4,"$49,304.32 ","$12,326.08 ","$21,266.60 ","$28,055.22 ",$1.06 
10/27/2020,12,"$82,403.28 ","$6,866.94 ","$35,957.76 ","$46,525.70 ",$1.77 
10/28/2020,11,"$18,201.46 ","$1,654.68 ","$7,984.02 ","$10,152.14 ",$0.39 
10/29/2020,15,"$52,654.68 ","$3,510.31 ","$23,673.04 ","$29,089.58 ",$1.13 
10/30/2020,8,"$57,781.62 ","$7,222.70 ","$23,943.57 ","$33,877.10 ",$1.24 
11/2/2020,10,"$81,376.15 ","$8,137.62 ","$27,264.42 ","$55,136.41 ",$1.75 
11/3/2020,16,"$27,434.29 ","$1,714.64 ","$9,979.17 ","$17,471.11 ",$0.59 
11/4/2020,7,"$38,341.23 ","$5,477.32 ","$16,331.29 ","$22,010.71 ",$0.82 
11/5/2020,10,"$55,156.23 ","$5,515.62 ","$21,537.29 ","$33,634.61 ",$1.19 
11/6/2020,4,"$10,322.41 ","$2,580.60 ","$4,455.97 ","$5,849.93 ",$0.22 
11/9/2020,5,"$15,282.98 ","$3,056.60 ","$5,161.23 ","$10,124.87 ",$0.32 
11/10/2020,7,"$164,026.16 ","$23,432.31 ","$66,079.53 ","$98,763.49 ",$3.53 
11/11/2020,5,"$20,723.73 ","$4,144.75 ","$8,709.22 ","$12,020.85 ",$0.44 
11/12/2020,12,"$116,172.45 ","$9,681.04 ","$50,704.57 ","$65,511.58 ",$2.50 
11/13/2020,6,"$37,861.75 ","$6,310.29 ","$7,052.39 ","$30,900.05 ",$0.81 
11/16/2020,7,"$37,183.27 ","$5,311.90 ","$15,470.43 ","$21,207.81 ",$0.80 
11/17/2020,12,"$41,377.71 ","$3,448.14 ","$17,399.20 ","$24,114.83 ",$0.89 
11/18/2020,3,"$20,684.68 ","$6,894.89 ","$8,114.01 ","$12,573.15 ",$0.44 
